E_x	E_y	E_z
1.794816	2.264416	1.248818
1.650516	2.234234	1.257367
1.743322	2.172406	1.221544
1.804469	1.998047	1.210999
1.857766	1.945176	1.250037
1.870195	2.072379	1.193821
2.012380	2.006501	1.104136
1.958006	2.004036	1.098770
1.990848	1.876965	1.003769
1.921628	2.027443	0.918363
2.013766	1.809372	1.036892
1.597613	2.548367	1.226794
1.703753	2.470135	1.298959
1.688160	2.446285	1.222190
1.713770	2.559896	1.334793
1.706831	2.414490	1.111802
1.966981	2.484487	1.190298
1.925102	2.528587	1.058709
1.947984	2.564720	0.949373
1.809509	2.537708	0.864694
1.789212	2.634559	0.804739
1.926893	2.530954	0.836954
2.000591	2.511151	0.790600
2.059117	2.580333	0.839352
2.027567	2.625853	0.662242
2.067129	2.689370	0.660690
1.985217	2.698559	0.469642
2.074719	2.617489	0.477603
2.204228	2.763796	0.537430
2.057608	2.652137	0.543752
2.177609	2.841016	0.445496
2.208160	2.632395	0.391592
2.208317	2.694560	0.421399
2.185914	2.524899	0.182619
2.307088	2.522763	0.132293
2.321174	2.770827	0.269573
2.376784	2.565974	0.241820
2.403430	2.511797	0.251522
2.377882	2.455043	0.291197
2.358463	2.418017	0.245511
2.320535	2.444449	0.196269
2.484135	2.443793	0.189989
2.477176	2.476668	0.231869
2.428097	2.236728	0.111578
2.414185	2.250765	0.182123
2.449321	2.296375	0.198780
2.487764	2.220619	0.067034
2.385213	2.163244	0.138753
2.503210	2.246423	0.338276
2.442914	2.200457	0.278441
2.432500	1.999327	0.267977
2.425683	2.014610	0.328934
2.450209	1.991088	0.435168
2.514570	1.803608	0.185938
2.505015	1.769459	0.394744
2.337018	1.694341	0.488700
2.469839	1.744453	0.292473
2.358397	1.776133	0.416660
2.397972	1.705676	0.613705
2.376496	1.595101	0.704412
2.337465	1.628626	0.590636
2.296530	1.528394	0.694988
2.437247	1.457574	0.635446
2.397056	1.512249	0.755768
2.341406	1.451910	0.993165
2.289892	1.432145	1.068858
2.168290	1.497942	0.980726
2.285161	1.535190	1.012067
2.104080	1.430709	1.010186
2.283999	1.387018	1.084719
2.118720	1.258819	1.089898
2.166352	1.296240	1.134247
2.087714	1.422724	1.315826
2.093122	1.268008	1.203353
