E_x	E_y	E_z
2.181431	2.102101	0.757991
2.191270	2.050057	0.594154
2.140344	2.022526	0.547918
2.215744	2.019366	0.659195
2.093224	2.107820	0.706138
2.057107	2.116945	0.737675
2.112626	2.220217	0.679016
2.147177	2.096470	0.691468
2.202450	2.146935	0.582561
2.206140	2.006371	0.645301
2.122326	2.063101	0.748396
2.268641	2.169813	0.575824
2.159728	2.220967	0.670449
2.354067	2.165336	0.676310
2.153585	2.151699	0.652570
2.226521	2.219277	0.607169
2.070208	2.015644	0.706343
2.083929	1.997722	0.699526
2.350281	2.164556	0.735422
2.166061	2.163411	0.743631
2.134765	2.196691	0.701005
2.103034	2.256843	0.665946
2.093060	2.228473	0.613887
2.148448	2.193339	0.764930
2.178524	2.197926	0.747049
2.243769	2.247411	0.688733
2.037693	2.131456	0.667318
2.086938	2.203072	0.696724
2.168944	2.217555	0.731241
2.130614	2.080420	0.626593
2.111527	2.143582	0.744339
2.233691	2.331437	0.685650
2.227235	2.256890	0.678702
2.065967	2.228756	0.677207
2.121291	2.269175	0.708898
2.137813	2.352111	0.782246
1.990204	2.076939	0.783475
1.995580	2.257285	0.628026
1.959469	2.320401	0.775115
2.047896	2.091101	0.679616
2.117033	2.180137	0.736752
2.083010	2.340117	0.734396
2.007684	2.392017	0.715976
2.075120	2.237870	0.697069
2.007308	2.300473	0.861153
1.967274	2.197994	0.845583
2.050962	2.274384	0.815719
2.017732	2.467057	0.791062
2.023050	2.497432	0.697290
2.111787	2.363596	0.842861
2.169729	2.349051	0.691245
2.083596	2.301310	0.901287
2.055820	2.330213	0.766676
1.941024	2.290201	0.845407
1.989269	2.289999	0.798186
2.123940	2.427869	0.835211
1.974727	2.272728	0.875688
2.003760	2.365952	0.865292
2.066150	2.424342	0.930651
1.972640	2.465108	0.775160
2.037519	2.515510	0.811588
2.054217	2.486651	0.748755
1.947373	2.333175	0.631284
2.160998	2.334102	0.764810
1.982491	2.445188	0.845237
2.064256	2.383675	0.774183
2.017382	2.414010	0.909937
2.029480	2.493017	0.841780
2.077137	2.456699	0.697487
2.015572	2.399475	0.757797
2.026043	2.546385	0.801740
2.001699	2.586348	0.820911
2.170134	2.506246	0.673515
2.027981	2.497552	0.905029
2.018442	2.463694	0.719208
1.948752	2.415384	0.770231
2.005048	2.609492	0.846118
1.867692	2.522651	0.909020
1.908129	2.484292	0.823136
1.891477	2.547982	0.815732
1.978292	2.437797	0.794770
1.997491	2.481375	0.959885
1.909828	2.531147	0.903096
1.829913	2.387172	0.721524
2.027477	2.482761	1.030615
1.886960	2.542888	0.957218
2.076233	2.688535	0.935002
1.999082	2.583216	0.905573
1.877442	2.482244	0.849770
1.902525	2.514428	0.905086
1.983447	2.559841	0.966511
1.822687	2.543454	0.804779
1.764841	2.556523	0.852260
2.014861	2.614758	0.787433
2.036935	2.663726	0.910766
1.877421	2.504869	0.842060
1.972597	2.722827	0.988590
1.850815	2.502144	0.886290
1.751388	2.614963	0.867535
1.845615	2.475708	0.920012
1.837167	2.512130	0.668964
1.871613	2.737331	1.011874
1.835956	2.563762	0.925337
1.791926	2.636053	0.950540
1.955397	2.610373	0.880717
1.794105	2.560311	0.881920
1.884089	2.695263	0.841584
1.965077	2.610803	0.903141
1.793679	2.453687	0.973971
1.901583	2.618748	0.915620
1.881622	2.526974	0.873849
1.899109	2.554385	0.938480
1.734414	2.687705	0.916728
1.711649	2.744319	0.867249
1.768647	2.676220	1.011436
1.749868	2.669992	0.960397
1.874683	2.682761	0.903659
1.757284	2.680124	0.853729
1.596911	2.710514	1.004890
1.635460	2.606124	0.986490
1.963666	2.687469	0.888414
1.792319	2.793053	0.897530
1.742787	2.657732	0.877442
1.808624	2.819761	0.976140
1.777203	2.679970	0.837639
1.859076	2.699936	0.944313
2.029048	2.732070	0.904437
1.754318	2.799659	0.972291
1.675162	2.786301	0.916660
1.920277	2.802168	0.936199
1.872612	2.730030	1.036684
1.809656	2.665212	0.927439
1.847321	2.707299	0.948411
1.695223	2.767868	1.136355
1.683584	2.741575	1.090564
1.754477	2.777318	0.907950
1.789384	2.732957	1.064542
1.843135	2.944783	1.037068
1.775346	2.768688	0.970091
1.773138	2.735467	1.012196
1.843421	2.685615	1.088036
1.840245	2.755703	0.846390
1.692745	2.865256	1.006797
1.660265	2.733516	1.074541
1.773108	2.756816	0.986965
1.699623	2.708887	1.138612
1.701743	2.872655	1.134538
1.797714	2.752267	1.053700
1.717960	2.720099	1.050726
1.628292	2.880160	0.994531
1.728764	2.815507	1.012937
1.754647	2.761788	1.100678
1.606675	2.809997	1.183725
1.629590	2.752769	1.079821
1.715086	2.832947	1.080938
1.746236	2.892895	1.077955
1.677563	2.863097	1.192678
1.682748	2.742518	1.136183
1.680718	2.655579	1.119672
1.646660	2.814628	1.083976
1.698172	2.877484	1.029375
1.719455	2.807633	1.120404
1.724225	2.759732	1.149396
1.634988	2.893253	1.098445
1.810175	2.818614	1.047648
1.667993	2.815328	1.136788
1.545378	2.761700	0.999650
1.735040	2.971648	1.074841
1.648283	2.851198	1.172751
1.588585	2.866381	1.161683
1.692924	2.865248	1.166551
1.449818	2.904362	1.045342
1.512496	2.894320	1.200344
1.636731	2.929870	1.221159
1.742919	2.983792	1.158812
1.647232	2.743003	1.087608
1.575620	3.028294	1.095777
1.645407	2.909122	1.115140
1.760613	2.823316	1.129362
1.575131	2.773232	1.071776
1.625385	2.842221	1.068615
1.520050	2.870336	1.010576
1.679904	2.884867	1.016992
1.597100	2.824353	1.153120
1.718230	2.742173	1.140677
1.603108	2.935172	1.150902
1.556156	2.862869	1.078068
1.690706	2.890337	1.283212
1.602923	2.837514	1.029940
1.469720	2.773705	1.166344
1.640608	2.775761	1.216273
1.563738	2.907160	1.272891
1.664760	2.877775	1.087958
1.433657	2.845707	1.141779
1.518566	2.891492	1.166189
1.573318	2.854244	1.175879
1.620922	2.822836	1.271847
1.577993	2.907616	1.221935
1.600505	2.979238	1.193138
1.534724	2.936379	1.088602
1.586458	2.908253	1.161544
1.566353	2.771049	1.138763
1.580650	2.925583	1.105598
1.666324	2.850001	1.258133
1.601163	2.867831	1.321314
1.477345	2.986532	1.265945
1.514332	3.023292	1.174875
1.584059	2.939606	1.186275
1.621014	2.980782	1.067920
1.655842	2.797736	1.279205
1.640350	2.841716	1.173649
1.470767	2.908498	1.184046
1.610036	3.023933	1.314504
1.507282	2.910975	1.086242
1.486906	2.999999	1.336332
1.452690	2.884133	1.215837
1.564215	2.868744	1.252268
1.505621	2.929239	1.264072
1.539614	2.898417	1.217508
1.530497	2.904180	1.208939
1.655033	2.974749	1.208798
1.585434	2.908355	1.321545
1.558933	2.926019	1.269731
1.411459	2.850197	1.149191
1.538080	3.065244	1.408656
1.573316	2.973432	1.108793
1.482883	2.877312	1.199863
1.509113	2.901479	1.100524
1.575977	2.856883	1.269449
1.673618	2.868800	1.064259
1.494809	3.020705	1.403421
1.422260	2.975727	1.224151
1.504765	3.137104	1.148821
1.529997	2.974123	1.345461
1.516590	2.962380	1.237127
1.527719	2.913729	1.315581
1.478127	2.967907	1.269221
1.588635	2.935889	1.140880
1.597177	2.871895	1.227255
1.456231	3.042952	1.118532
1.734629	3.019080	1.297859
1.493592	2.961262	1.322598
1.544532	2.981449	1.292618
1.479792	2.928329	1.273657
1.578096	2.984049	1.070109
1.540748	2.953959	1.291587
1.460928	3.023446	1.366396
1.430633	2.969413	1.224786
1.383679	2.891590	1.364657
1.557207	2.976748	1.356664
1.523029	2.889791	1.336970
1.542959	2.994073	1.396025
1.534685	2.963421	1.389387
1.478227	2.870446	1.299153
1.423023	2.885435	1.302788
1.418154	2.912427	1.173838
1.492299	2.935027	1.256797
1.524482	3.004631	1.199719
1.416591	2.875967	1.251987
1.534785	2.918418	1.304823
1.321083	2.979876	1.233886
1.474688	2.952252	1.431036
1.370872	2.704177	1.344918
1.602934	3.022716	1.348983
1.429906	2.989447	1.262359
1.501410	2.965905	1.416994
1.671582	2.956470	1.301396
1.461636	2.793366	1.289542
1.431826	2.885712	1.355135
